BGC	Accesion ID	Description	Product Prediction	BiG-SCAPE class
BGC0000277.1	BGC0000277.1	Urdamycin biosynthetic gene cluster	oligosaccharide	Saccharides
BGC0000283.1	BGC0000283.1	Cetoniacytone A biosynthetic gene cluster	amglyccycl	Saccharides
BGC0000689.1	BGC0000689.1	2-deoxystreptamine biosynthetic gene cluster	amglyccycl	Saccharides
BGC0000690.1	BGC0000690.1	5'-hydroxystreptomycin biosynthetic gene cluster	amglyccycl	Saccharides
BGC0000691.1	BGC0000691.1	Acarbose biosynthetic gene cluster	amglyccycl	Saccharides
BGC0000692.1	BGC0000692.1	Apramycin biosynthetic gene cluster	amglyccycl	Saccharides
BGC0000693.1	BGC0000693.1	Butirosin biosynthetic gene cluster	amglyccycl	Saccharides
BGC0000694.1	BGC0000694.1	Butirosin biosynthetic gene cluster	amglyccycl	Saccharides
BGC0000697.1	BGC0000697.1	Gentamicin biosynthetic gene cluster	amglyccycl	Saccharides
BGC0000699.1	BGC0000699.1	Hygromycin B biosynthetic gene cluster	amglyccycl	Saccharides
BGC0000701.1	BGC0000701.1	Jinggangmycin biosynthetic gene cluster	amglyccycl	Saccharides
BGC0000702.1	BGC0000702.1	Kanamycin biosynthetic gene cluster	amglyccycl	Saccharides
BGC0000704.1	BGC0000704.1	Kanamycin biosynthetic gene cluster	amglyccycl	Saccharides
BGC0000705.1	BGC0000705.1	Kanamycin biosynthetic gene cluster	amglyccycl	Saccharides
BGC0000708.1	BGC0000708.1	Lividomycin biosynthetic gene cluster	amglyccycl	Saccharides
BGC0000709.1	BGC0000709.1	Neomycin biosynthetic gene cluster	amglyccycl	Saccharides
BGC0000710.1	BGC0000710.1	Neomycin biosynthetic gene cluster	amglyccycl	Saccharides
BGC0000711.1	BGC0000711.1	Neomycin biosynthetic gene cluster	amglyccycl	Saccharides
BGC0000712.1	BGC0000712.1	Paromomycin biosynthetic gene cluster	amglyccycl	Saccharides
BGC0000713.1	BGC0000713.1	Ribostamycin biosynthetic gene cluster	amglyccycl	Saccharides
BGC0000714.1	BGC0000714.1	Sisomicin biosynthetic gene cluster	amglyccycl	Saccharides
BGC0000715.1	BGC0000715.1	Spectinomycin biosynthetic gene cluster	amglyccycl	Saccharides
BGC0000716.1	BGC0000716.1	Spectinomycin biosynthetic gene cluster	amglyccycl	Saccharides
BGC0000719.1	BGC0000719.1	Tobramycin biosynthetic gene cluster	amglyccycl	Saccharides
BGC0000720.1	BGC0000720.1	Tobramycin biosynthetic gene cluster	amglyccycl	Saccharides
BGC0000721.1	BGC0000721.1	Tobramycin biosynthetic gene cluster	amglyccycl	Saccharides
BGC0000722.1	BGC0000722.1	Validamycin biosynthetic gene cluster	amglyccycl	Saccharides
BGC0000723.1	BGC0000723.1	Validamycin biosynthetic gene cluster	amglyccycl	Saccharides
BGC0000724.1	BGC0000724.1	Streptomycin biosynthetic gene cluster	amglyccycl	Saccharides
