BGC	Accesion ID	Description	Product Prediction	BiG-SCAPE class
BGC0000287.1	BGC0000287.1	2-amino-4-methoxy-trans-3-butenoic acid biosynthetic gene cluster	nrps	NRPS
BGC0000291.1	BGC0000291.1	A54145 biosynthetic gene cluster	nrps	NRPS
BGC0000292.1	BGC0000292.1	Acetylaranotin biosynthetic gene cluster	nrps	NRPS
BGC0000294.1	BGC0000294.1	Acinetobactin biosynthetic gene cluster	nrps	NRPS
BGC0000296.1	BGC0000296.1	Actinomycin biosynthetic gene cluster	nrps	NRPS
BGC0000297.1	BGC0000297.1	Aeruginoside biosynthetic gene cluster	nrps	NRPS
BGC0000298.1	BGC0000298.1	Aeruginosin biosynthetic gene cluster	nrps	NRPS
BGC0000299.1	BGC0000299.1	Alterochromides biosynthetic gene cluster	nrps	NRPS
BGC0000300.1	BGC0000300.1	Amychelin biosynthetic gene cluster	nrps	NRPS
BGC0000301.1	BGC0000301.1	Anabaenopeptin biosynthetic gene cluster	nrps	NRPS
BGC0000302.1	BGC0000302.1	Anabaenopeptin biosynthetic gene cluster	nrps	NRPS
BGC0000303.1	BGC0000303.1	Anthramycin biosynthetic gene cluster	nrps	NRPS
BGC0000304.1	BGC0000304.1	Apicidin biosynthetic gene cluster	nrps	NRPS
BGC0000305.1	BGC0000305.1	Arthrofactin biosynthetic gene cluster	nrps	NRPS
BGC0000306.1	BGC0000306.1	Arylomycin biosynthetic gene cluster	nrps	NRPS
BGC0000307.1	BGC0000307.1	Aureobasidin A1 biosynthetic gene cluster	nrps	NRPS
BGC0000308.1	BGC0000308.1	Aureusimine biosynthetic gene cluster	nrps	NRPS
BGC0000309.1	BGC0000309.1	Bacillibactin biosynthetic gene cluster	nrps	NRPS
BGC0000310.1	BGC0000310.1	Bacitracin biosynthetic gene cluster	nrps	NRPS
BGC0000312.1	BGC0000312.1	Bassianolide biosynthetic gene cluster	nrps	NRPS
BGC0000313.1	BGC0000313.1	Beauvericin biosynthetic gene cluster	nrps	NRPS
BGC0000314.1	BGC0000314.1	Bromoalterochromides biosynthetic gene cluster	nrps	NRPS
BGC0000315.1	BGC0000315.1	Calcium-dependent antibiotic biosynthetic gene cluster	nrps	NRPS
BGC0000316.1	BGC0000316.1	Capreomycin biosynthetic gene cluster	nrps	NRPS
BGC0000317.1	BGC0000317.1	Cephalosporin biosynthetic gene cluster	nrps	NRPS
BGC0000319.1	BGC0000319.1	Cephamycin C biosynthetic gene cluster	nrps	NRPS
BGC0000320.1	BGC0000320.1	Cereulide biosynthetic gene cluster	nrps	NRPS
BGC0000321.1	BGC0000321.1	Chaetocin biosynthetic gene cluster	nrps	NRPS
BGC0000323.1	BGC0000323.1	Cichofactin biosynthetic gene cluster	nrps	NRPS
BGC0000324.1	BGC0000324.1	Coelibactin biosynthetic gene cluster	nrps	NRPS
BGC0000325.1	BGC0000325.1	Coelichelin biosynthetic gene cluster	nrps	NRPS
BGC0000326.1	BGC0000326.1	Complestatin biosynthetic gene cluster	nrps	NRPS
BGC0000327.1	BGC0000327.1	Congocidine biosynthetic gene cluster	nrps	NRPS
BGC0000330.1	BGC0000330.1	Cupriachelin biosynthetic gene cluster	nrps	NRPS
BGC0000331.1	BGC0000331.1	Cyanopeptin biosynthetic gene cluster	nrps	NRPS
BGC0000332.1	BGC0000332.1	Cyanopeptolin biosynthetic gene cluster	nrps	NRPS
