BGC	Accesion ID	Description	Product Prediction	BiG-SCAPE class
BGC0000468.1	BGC0000468.1	Bottromycin A2 biosynthetic gene cluster	bacteriocin-bottromycin	RiPPs
BGC0000469.1	BGC0000469.1	Bottromycin A2 biosynthetic gene cluster	bacteriocin-bottromycin	RiPPs
BGC0000470.1	BGC0000470.1	Bottromycin D biosynthetic gene cluster	bacteriocin-bottromycin	RiPPs
BGC0000471.1	BGC0000471.1	Viridisamide A biosynthetic gene cluster	cyanobactin-bacteriocin	RiPPs
BGC0000472.1	BGC0000472.1	Anacyclamide biosynthetic gene cluster	cyanobactin	RiPPs
BGC0000473.1	BGC0000473.1	Microcyclamide biosynthetic gene cluster	cyanobactin-bacteriocin	RiPPs
BGC0000474.1	BGC0000474.1	Microcyclamide biosynthetic gene cluster	cyanobactin-bacteriocin	RiPPs
BGC0000475.1	BGC0000475.1	Patellamide A / patellamide C biosynthetic gene cluster	cyanobactin-bacteriocin	RiPPs
BGC0000477.1	BGC0000477.1	Patellin 2 / patellin 3 biosynthetic gene cluster	cyanobactin-bacteriocin	RiPPs
BGC0000479.1	BGC0000479.1	Prenylagaramide B / prenylagaramide C biosynthetic gene cluster	cyanobactin	RiPPs
BGC0000480.1	BGC0000480.1	Tenuecyclamide A / tenuecyclamide C biosynthetic gene cluster	cyanobactin-bacteriocin	RiPPs
BGC0000481.1	BGC0000481.1	Trichamide biosynthetic gene cluster	cyanobactin-bacteriocin	RiPPs
BGC0000483.1	BGC0000483.1	Aeruginosamide biosynthetic gene cluster	cyanobactin-bacteriocin	RiPPs
BGC0000484.1	BGC0000484.1	Glycocin F biosynthetic gene cluster	glycocin	RiPPs
BGC0000485.1	BGC0000485.1	Acidocin B biosynthetic gene cluster	bacteriocin	RiPPs
BGC0000486.1	BGC0000486.1	Butyrivibriocin AR10 biosynthetic gene cluster	bacteriocin	RiPPs
BGC0000487.1	BGC0000487.1	Carnocyclin biosynthetic gene cluster	bacteriocin	RiPPs
BGC0000488.1	BGC0000488.1	Circularin A biosynthetic gene cluster	bacteriocin	RiPPs
BGC0000489.1	BGC0000489.1	Enterocin AS-48 biosynthetic gene cluster	bacteriocin	RiPPs
BGC0000490.1	BGC0000490.1	Garvicin ML biosynthetic gene cluster	bacteriocin	RiPPs
BGC0000491.1	BGC0000491.1	Gassericin A biosynthetic gene cluster	bacteriocin	RiPPs
