BGC	Accesion ID	Description	Product Prediction	BiG-SCAPE class
BGC0000002.1	BGC0000002.1	Aculeximycin biosynthetic gene cluster	t1pks-oligosaccharide	Others
BGC0000005.1	BGC0000005.1	Aflatoxin biosynthetic gene cluster	other	Others
BGC0000010.1	BGC0000010.1	Aflatoxin biosynthetic gene cluster	other	Others
BGC0000016.1	BGC0000016.1	Amphotericin biosynthetic gene cluster	other	Others
BGC0000019.1	BGC0000019.1	Angolamycin biosynthetic gene cluster	other	Others
BGC0000025.1	BGC0000025.1	Avermectin biosynthetic gene cluster	other	Others
BGC0000026.1	BGC0000026.1	Avilamycin A biosynthetic gene cluster	t1pks-oligosaccharide	Others
BGC0000033.1	BGC0000033.1	Calicheamicin biosynthetic gene cluster	t1pks-oligosaccharide	Others
BGC0000038.1	BGC0000038.1	Coelimycin biosynthetic gene cluster	butyrolactone-t1pks	Others
BGC0000065.1	BGC0000065.1	Galbonolides biosynthetic gene cluster	other	Others
BGC0000078.1	BGC0000078.1	Incednine biosynthetic gene cluster	t1pks-oligosaccharide	Others
BGC0000082.1	BGC0000082.1	Kijanimicin biosynthetic gene cluster	t1pks-oligosaccharide	Others
BGC0000088.1	BGC0000088.1	Lovastatin biosynthetic gene cluster	other	Others
BGC0000101.1	BGC0000101.1	Monodictyphenone biosynthetic gene cluster	other	Others
BGC0000112.1	BGC0000112.1	Neocarzinostatin biosynthetic gene cluster	t1pks-butyrolactone	Others
BGC0000131.1	BGC0000131.1	Pyrrolomycin biosynthetic gene cluster	other	Others
BGC0000141.1	BGC0000141.1	Rubradirin biosynthetic gene cluster	t1pks-nrps-aminocoumarin	Others
BGC0000144.1	BGC0000144.1	Salinomycin biosynthetic gene cluster	t1pks-nrps-butyrolactone	Others
BGC0000168.1	BGC0000168.1	Viridicatumtoxin biosynthetic gene cluster	t1pks-terpene	Others
BGC0000175.1	BGC0000175.1	Cycloheximide / actiphenol biosynthetic gene cluster	lantipeptide-transatpks	Others
BGC0000182.1	BGC0000182.1	Mupirocin biosynthetic gene cluster	transatpks-t2pks-hserlactone	Others
BGC0000183.1	BGC0000183.1	Paenimacrolidin biosynthetic gene cluster	other	Others
BGC0000187.1	BGC0000187.1	Asukamycin biosynthetic gene cluster	furan	Others
BGC0000188.1	BGC0000188.1	Saxitoxin biosynthetic gene cluster	other	Others
BGC0000189.1	BGC0000189.1	Xenocyloins biosynthetic gene cluster	other	Others
BGC0000193.1	BGC0000193.1	Aclacinomycin biosynthetic gene cluster	other	Others
BGC0000199.1	BGC0000199.1	Arimetamycin biosynthetic gene cluster	t2pks-oligosaccharide	Others
BGC0000207.1	BGC0000207.1	Chartreusin biosynthetic gene cluster	other	Others
BGC0000210.1	BGC0000210.1	Chromomycin A3 biosynthetic gene cluster	t2pks-oligosaccharide	Others
BGC0000213.1	BGC0000213.1	Colabomycin biosynthetic gene cluster	furan	Others
BGC0000229.1	BGC0000229.1	Grincamycin biosynthetic gene cluster	t2pks-oligosaccharide	Others
BGC0000238.1	BGC0000238.1	Lactonamycin biosynthetic gene cluster	butyrolactone-t2pks	Others
