BGC	Accesion ID	Description	Product Prediction	BiG-SCAPE class
BGC0000062.1	BGC0000062.1	Fumonisin biosynthetic gene cluster	t1pks-nrps	PKS-NRP_Hybrids
BGC0000063.1	BGC0000063.1	Fumonisin biosynthetic gene cluster	t1pks-nrps	PKS-NRP_Hybrids
BGC0000064.1	BGC0000064.1	Fusarin biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
BGC0000081.1	BGC0000081.1	Kedarcidin biosynthetic gene cluster	t1pks-nrps	PKS-NRP_Hybrids
BGC0000145.1	BGC0000145.1	Salinosporamide A biosynthetic gene cluster	nrps-t1pks-transatpks	PKS-NRP_Hybrids
BGC0000150.1	BGC0000150.1	Sporolide biosynthetic gene cluster	t1pks-nrps	PKS-NRP_Hybrids
BGC0000186.1	BGC0000186.1	Thailandamide biosynthetic gene cluster	transatpks-t2pks-nrps	PKS-NRP_Hybrids
BGC0000289.1	BGC0000289.1	A40926 biosynthetic gene cluster	nrps-t3pks	PKS-NRP_Hybrids
BGC0000290.1	BGC0000290.1	A47934 biosynthetic gene cluster	nrps-t3pks	PKS-NRP_Hybrids
BGC0000311.1	BGC0000311.1	Balhimycin biosynthetic gene cluster	nrps-t3pks	PKS-NRP_Hybrids
BGC0000322.1	BGC0000322.1	Chloroeremomycin biosynthetic gene cluster	t3pks-nrps	PKS-NRP_Hybrids
BGC0000335.1	BGC0000335.1	Cystomanamides biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
BGC0000345.1	BGC0000345.1	Eponemycin biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
BGC0000346.1	BGC0000346.1	Epoxomicin biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
BGC0000353.1	BGC0000353.1	FK506 biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
BGC0000365.1	BGC0000365.1	Glycopeptidolipid biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
BGC0000380.1	BGC0000380.1	Leupyrrin biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
BGC0000383.1	BGC0000383.1	Luminmycin biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
BGC0000393.1	BGC0000393.1	Myxoprincomide biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
BGC0000402.1	BGC0000402.1	Paenilarvins biosynthetic gene cluster	nrps-transatpks	PKS-NRP_Hybrids
BGC0000418.1	BGC0000418.1	Ristocetin biosynthetic gene cluster	nrps-t3pks	PKS-NRP_Hybrids
BGC0000419.1	BGC0000419.1	Ristomycin A biosynthetic gene cluster	t3pks-nrps	PKS-NRP_Hybrids
BGC0000436.1	BGC0000436.1	Syringolin A biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
BGC0000440.1	BGC0000440.1	Teicoplanin biosynthetic gene cluster	nrps-t3pks	PKS-NRP_Hybrids
BGC0000441.1	BGC0000441.1	Teicoplanin biosynthetic gene cluster	nrps-t3pks	PKS-NRP_Hybrids
BGC0000455.1	BGC0000455.1	Vancomycin biosynthetic gene cluster	nrps-t3pks	PKS-NRP_Hybrids
BGC0000467.1	BGC0000467.1	Yersiniabactin biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
BGC0000954.1	BGC0000954.1	Ajudazol biosynthetic gene cluster	t1pks-nrps	PKS-NRP_Hybrids
BGC0000955.1	BGC0000955.1	Althiomycin biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
BGC0000958.1	BGC0000958.1	Antimycin biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
BGC0000959.1	BGC0000959.1	Aspyridone biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
BGC0000960.1	BGC0000960.1	Azinomycin B biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
BGC0000962.1	BGC0000962.1	Barbamide biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
BGC0000963.1	BGC0000963.1	Bleomycin biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
BGC0000965.1	BGC0000965.1	C-1027 biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
